step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,708,4,0.11778807052441564,0.0,0.0,0.06854277809639149,0.0,0.0,,,,,,
2,6888,8,0.026699077369706416,0.0,0.0,,,,,,,,,
3,8460,12,0.04496656355532612,0.0,0.0,,,,,,,,,
4,10256,16,0.03605187411669306,0.0,0.0,,,,,,,,,
5,11412,20,0.03763583087114158,0.25,0.25,,,,,,,,,
6,12824,24,0.03724684766618628,1.0,1.0,,,,,,,,,
7,15964,28,0.020885685392159868,1.0,1.0,,,,,,,,,
8,17408,32,0.02674706817747898,0.75,0.75,,,,,,,,,
9,19012,36,0.023752010266927394,1.0,1.0,0.011472099159142535,0.75,0.75,,,,,,
10,20616,40,0.01893290707538763,1.0,1.0,,,,,,,,,
11,25708,44,0.016627882242162443,0.75,0.75,,,,,,,,,
12,32080,48,0.013308136371656875,1.0,1.0,,,,,,,,,
13,32724,52,0.02870693101675533,0.75,0.75,,,,,,,,,
14,34904,56,0.021538730459350626,1.0,1.0,,,,,,,,,
15,40828,60,0.011018723639250778,1.0,1.0,,,,,,,,,
16,41632,64,0.030139769303426142,0.75,0.75,,,,,,,,,
17,43300,68,0.025952068433814646,1.0,1.0,0.015967142144217128,1.0,1.0,,,,,,
18,44200,72,0.03821400364941707,1.0,1.0,,,,,,,,,
19,44876,76,0.01845413661691488,0.75,0.75,,,,,,,,,
20,47120,80,0.02624200323202811,1.0,1.0,,,,,,,,,
21,50036,84,0.024692067238087163,1.0,1.0,,,,,,,,,
22,51864,88,0.02473304861308941,0.75,0.75,,,,,,,,,
23,52764,92,0.0280696340018754,1.0,1.0,,,,,,,,,
24,58528,96,0.0156882370355488,0.75,0.75,,,,,,,,,
25,59012,100,0.023243944980692505,1.0,1.0,0.021017249288186265,1.0,1.0,,,,,,
26,60072,104,0.020676460029601117,1.0,1.0,,,,,,,,,
27,60620,108,0.01538080365897151,1.0,1.0,,,,,,,,,
28,61744,112,0.025660169583422043,1.0,1.0,,,,,,,,,
29,64916,116,0.014787049319886983,1.0,1.0,,,,,,,,,
30,67832,120,0.012224761776777107,1.0,1.0,,,,,,,,,
31,69244,124,0.01844507240372216,1.0,1.0,,,,,,,,,
32,70400,128,0.03565593745479772,1.0,1.0,,,,,,,,,
33,72868,132,0.019236334644240728,0.5,0.5,0.009573595859398166,1.0,1.0,,,,,,
34,73864,136,0.021455245470851585,1.0,1.0,,,,,,,,,
35,75116,140,0.02739967532735206,1.0,1.0,,,,,,,,,
36,75856,144,0.019185796860486375,1.0,1.0,,,,,,,,,
37,78228,148,0.016240015688519537,1.0,1.0,,,,,,,,,
38,81816,152,0.012289354617950445,0.75,0.75,,,,,,,,,
39,83548,156,0.01274995114058036,1.0,1.0,,,,,,,,,
40,86304,160,0.024164811962908695,1.0,1.0,,,,,,,,,
41,90788,164,0.012976300252477457,1.0,1.0,0.020483137601544854,1.0,1.0,,,,,,
42,95016,168,0.01713392272076717,1.0,1.0,,,,,,,,,
43,98924,172,0.01371439378523884,1.0,1.0,,,,,,,,,
44,99696,176,0.019140067220264432,1.0,1.0,,,,,,,,,
45,103220,180,0.01298506595289655,1.0,1.0,,,,,,,,,
46,105656,184,0.017612015160351255,1.0,1.0,,,,,,,,,
47,106300,188,0.026670073742391654,0.75,0.75,,,,,,,,,
48,107296,192,0.020657220637245524,0.75,0.75,,,,,,,,,
49,111748,196,0.00917637933756651,1.0,1.0,0.02169241109052505,1.0,1.0,,,,,,
50,116008,200,0.012858795949989428,1.0,1.0,,,,,,,,,
51,117772,204,0.023596170748012478,1.0,1.0,,,,,,,,,
52,120752,208,0.01806187134889402,1.0,1.0,,,,,,,,,
53,126516,212,0.01106520649400142,1.0,1.0,,,,,,,,,
54,127640,216,0.03250404258015936,1.0,1.0,,,,,,,,,
55,129052,220,0.022303820998348864,0.75,0.75,,,,,,,,,
56,129824,224,0.024869890944569307,1.0,1.0,,,,,,,,,
57,131620,228,0.016175451758130715,1.0,1.0,0.009996067497535429,1.0,1.0,,,,,,
58,133928,232,0.011327479587465002,1.0,1.0,,,,,,,,,
59,137388,236,0.014193324508502034,1.0,1.0,,,,,,,,,
60,138192,240,0.03318414840434125,1.0,1.0,,,,,,,,,
61,139092,244,0.03117714417023568,1.0,1.0,,,,,,,,,
62,141848,248,0.018573603041098938,1.0,1.0,,,,,,,,,
63,144156,252,0.0117965605262302,1.0,1.0,,,,,,,,,
64,144896,256,0.021052925846626908,1.0,1.0,,,,,,,,,
65,147460,260,0.01922058888865831,1.0,1.0,0.017266520130753034,1.0,1.0,,,,,,
66,151176,264,0.020731622943394895,0.75,0.75,,,,,,,,,
67,155212,268,0.010591539976372247,1.0,1.0,,,,,,,,,
68,157456,272,0.013399659249768223,1.0,1.0,,,,,,,,,
69,160020,276,0.016194689200335975,1.0,1.0,,,,,,,,,
70,160344,280,0.033087930207524555,0.5,0.5,,,,,,,,,
71,161020,284,0.028001033326801178,1.0,1.0,,,,,,,,,
72,162048,288,0.02417237949672576,1.0,1.0,,,,,,,,,
73,162532,292,0.03109559683288913,1.0,1.0,0.02307435111107831,1.0,1.0,,,,,,
74,166376,296,0.012686893807788884,1.0,1.0,,,,,,,,,
75,168236,300,0.01267265520555315,1.0,1.0,,,,,,,,,
76,169424,304,0.015553955181670773,1.0,1.0,,,,,,,,,
77,177268,308,0.013453865349503545,1.0,1.0,,,,,,,,,
78,182232,312,0.011750528987010438,1.0,1.0,,,,,,,,,
79,183516,316,0.01652000328511676,0.75,0.75,,,,,,,,,
80,188032,320,0.009986500429376979,1.0,1.0,,,,,,,,,
81,192292,324,0.015145624189573206,1.0,1.0,0.023505375722334753,1.0,1.0,,,,,,
82,192936,328,0.029399317098330473,1.0,1.0,,,,,,,,,
83,193932,332,0.02023331267958354,1.0,1.0,,,,,,,,,
84,198512,336,0.008485909507522732,1.0,1.0,,,,,,,,,
85,201076,340,0.017740062348102586,1.0,1.0,,,,,,,,,
86,204056,344,0.009634579927268074,1.0,1.0,,,,,,,,,
87,206556,348,0.01106863872335062,1.0,1.0,,,,,,,,,
88,210112,352,0.009642465365777713,1.0,1.0,,,,,,,,,
89,216932,356,0.02204432925383294,1.0,1.0,0.020325913161777967,1.0,1.0,,,,,,
90,219144,360,0.014912877767718508,1.0,1.0,,,,,,,,,
91,224844,364,0.017392925406206364,1.0,1.0,,,,,,,,,
92,230320,368,0.011335456895046229,1.0,1.0,,,,,,,,,
93,231636,372,0.021760071703886906,1.0,1.0,,,,,,,,,
94,234616,376,0.011168385096252714,1.0,1.0,,,,,,,,,
95,235708,380,0.015899337091277294,1.0,1.0,,,,,,,,,
96,239072,384,0.014475044870862586,1.0,1.0,,,,,,,,,
97,243812,388,0.009109058845192012,1.0,1.0,0.033335842246680444,1.0,1.0,,,,,,
98,244616,392,0.017626173245116297,1.0,1.0,,,,,,,,,
99,246892,396,0.017764509278736722,1.0,1.0,,,,,,,,,
100,251216,400,0.008680200000461574,1.0,1.0,,,,,,,,,
101,257556,404,0.0085210218729784,1.0,1.0,,,,,,,,,
102,262200,408,0.011003202208827948,1.0,1.0,,,,,,,,,
103,264284,412,0.01175798510835697,1.0,1.0,,,,,,,,,
104,265632,416,0.024365279066379943,1.0,1.0,,,,,,,,,
105,269476,420,0.010735159562180076,1.0,1.0,0.01360118283307587,1.0,1.0,,,,,,
106,274312,424,0.01075308238252965,1.0,1.0,,,,,,,,,
107,276428,428,0.015336618558959052,1.0,1.0,,,,,,,,,
108,277584,432,0.01764682421837266,1.0,1.0,,,,,,,,,
109,280596,436,0.013964715789087754,1.0,1.0,,,,,,,,,
110,282776,440,0.012335297110514603,1.0,1.0,,,,,,,,,
111,283132,444,0.03676067900791995,1.0,1.0,,,,,,,,,
112,283712,448,0.027172373304720925,1.0,1.0,,,,,,,,,
113,284356,452,0.020462650060237078,1.0,1.0,0.012682687030044236,1.0,1.0,,,,,,
114,285160,456,0.021321099301255527,1.0,1.0,,,,,,,,,
115,286092,460,0.024282646794644876,1.0,1.0,,,,,,,,,
116,287600,464,0.018042765499180147,1.0,1.0,,,,,,,,,
117,288244,468,0.023541200062893296,1.0,1.0,,,,,,,,,
118,288888,472,0.01678829911138923,1.0,1.0,,,,,,,,,
119,289596,476,0.024588191303111507,1.0,1.0,,,,,,,,,
120,290880,480,0.02352380385713866,1.0,1.0,,,,,,,,,
121,294308,484,0.008929027919688677,1.0,1.0,0.011756426058624014,1.0,1.0,,,,,,
122,295400,488,0.020453621989835056,1.0,1.0,,,,,,,,,
123,297772,492,0.012103817918821095,1.0,1.0,,,,,,,,,
124,300240,496,0.013196279166428425,1.0,1.0,,,,,,,,,
125,302228,500,0.02045078257269505,1.0,1.0,,,,,,,,,
126,308088,504,0.01180847473931041,1.0,1.0,,,,,,,,,
127,308732,508,0.01730350462997512,1.0,1.0,,,,,,,,,
128,314688,512,0.0072706489462341095,1.0,1.0,,,,,,,,,
129,318884,516,0.010085469339903253,1.0,1.0,0.013914585746629925,1.0,1.0,,,,,,
130,320264,520,0.015707024267571004,1.0,1.0,,,,,,,,,
131,321036,524,0.023306049022935062,1.0,1.0,,,,,,,,,
