step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,594,2,0.08957403289518263,0.0,0.0,0.04590745506781484,0.0,0.0,,,,,,
2,2644,4,0.037219690904078104,0.0,0.0,,,,,,,,,
3,2854,6,0.12856951389412502,0.0,0.0,,,,,,,,,
4,3608,8,0.03969802190482398,0.0,0.0,,,,,,,,,
5,3850,10,0.059478553442949306,0.0,0.0,,,,,,,,,
6,5260,12,0.035230542835686884,1.0,1.0,,,,,,,,,
7,6462,14,0.02240435580764752,1.0,1.0,,,,,,,,,
8,7264,16,0.023458922100774365,1.0,1.0,,,,,,,,,
9,9026,18,0.032909823363394854,1.0,1.0,0.030826256518936467,1.0,1.0,,,,,,
10,9188,20,0.0493032526805182,1.0,1.0,,,,,,,,,
11,9478,22,0.034561447690292776,1.0,1.0,,,,,,,,,
12,10600,24,0.03837132860146189,0.5,0.5,,,,,,,,,
13,10858,26,0.03344147780109779,1.0,1.0,,,,,,,,,
14,11692,28,0.024139075427114083,1.0,1.0,,,,,,,,,
15,11870,30,0.04293612577063455,1.0,1.0,,,,,,,,,
16,11968,32,0.08054384040820878,0.5,0.5,,,,,,,,,
17,12114,34,0.047117077128237324,1.0,1.0,0.02304800670670981,1.0,1.0,,,,,,
18,13092,36,0.018720664946545704,1.0,1.0,,,,,,,,,
19,14710,38,0.029988472154123987,1.0,1.0,,,,,,,,,
20,15048,40,0.050894381081119974,1.0,1.0,,,,,,,,,
21,15514,42,0.03282277342595425,0.5,0.5,,,,,,,,,
22,15836,44,0.04879258912260412,1.0,1.0,,,,,,,,,
23,16142,46,0.03843192954860186,0.5,0.5,,,,,,,,,
24,18144,48,0.015150015958565818,0.5,0.5,,,,,,,,,
25,18802,50,0.03975470399946771,1.0,1.0,0.04441685965657235,1.0,1.0,,,,,,
26,18916,52,0.05637214899137949,1.0,1.0,,,,,,,,,
27,19158,54,0.033567940835712455,1.0,1.0,,,,,,,,,
28,20392,56,0.02187763992002507,1.0,1.0,,,,,,,,,
29,21418,58,0.01962351753168605,1.0,1.0,,,,,,,,,
30,22428,60,0.021798533295671562,0.5,0.5,,,,,,,,,
31,22526,62,0.05075838335925558,0.5,0.5,,,,,,,,,
32,22608,64,0.04672680888185277,1.0,1.0,,,,,,,,,
33,23042,66,0.04562082242649383,1.0,1.0,0.03271747333222825,1.0,1.0,,,,,,
34,23332,68,0.030901600221249177,1.0,1.0,,,,,,,,,
35,23526,70,0.039223558846303304,1.0,1.0,,,,,,,,,
36,24584,72,0.024184644835125557,1.0,1.0,,,,,,,,,
37,25322,74,0.033643782986822295,1.0,1.0,,,,,,,,,
38,25500,76,0.026268984747373245,1.0,1.0,,,,,,,,,
39,25870,78,0.035760833522771186,1.0,1.0,,,,,,,,,
40,26096,80,0.026329305823392133,1.0,1.0,,,,,,,,,
41,26786,82,0.0259313452528003,1.0,1.0,0.02710660670860727,1.0,1.0,,,,,,
42,26932,84,0.030533051625566767,1.0,1.0,,,,,,,,,
43,27254,86,0.04002716062965829,1.0,1.0,,,,,,,,,
44,27656,88,0.02421170820926782,1.0,1.0,,,,,,,,,
45,27978,90,0.041634872907463434,1.0,1.0,,,,,,,,,
46,28412,92,0.025092992000595754,1.0,1.0,,,,,,,,,
